,name,last name,first name,age,position,team,faStatus,total-contract,average,max-contract
134,tajgibson,Gibson,Taj,37.0>,PF,NYK,UFA,2905851,2905851,"$2,905,851"
135,tajgibson,Gibson,Taj,37.0>,PF,NYK,UFA,2905851,2905851,"$2,905,851"
136,sergeibaka,Ibaka,Serge,32.8>,C,MIL,UFA,2905851,2905851,"$2,905,851"
137,sergeibaka,Ibaka,Serge,32.8>,C,MIL,UFA,2905851,2905851,"$2,905,851"
138,deandrejordan,Jordan,DeAndre,33.9>,C,PHI,UFA,2905851,2905851,"$2,905,851"
139,deandrejordan,Jordan,DeAndre,33.9>,C,PHI,UFA,2905851,2905851,"$2,905,851"
140,robinlopez,Lopez,Robin,34.2>,C,ORL,UFA,2905851,2905851,"$2,905,851"
141,robinlopez,Lopez,Robin,34.2>,C,ORL,UFA,2905851,2905851,"$2,905,851"
142,wesleymatthews,Matthews,Wesley,35.7>,SG,MIL,UFA,2905851,2905851,"$2,905,851"
143,wesleymatthews,Matthews,Wesley,35.7>,SG,MIL,UFA,2905851,2905851,"$2,905,851"
144,bismackbiyombo,Biyombo,Bismack,29.8>,C,PHX,UFA,2905851,2905851,"$2,905,851"
145,bismackbiyombo,Biyombo,Bismack,29.8>,C,PHX,UFA,2905851,2905851,"$2,905,851"
146,dennisschrder,Schröder,Dennis,29.0>,PG,HOU,UFA,2641682,2641682,"$2,641,682"
147,dennisschrder,Schröder,Dennis,29.0>,PG,HOU,UFA,2641682,2641682,"$2,641,682"
148,gorguidieng,Dieng,Gorgui,32.5>,C,ATL,UFA,2641682,2641682,"$2,641,682"
149,gorguidieng,Dieng,Gorgui,32.5>,C,ATL,UFA,2641682,2641682,"$2,641,682"
150,jamychalgreen,Green,JaMychal,32.1>,PF,OKC,UFA,2628597,2628597,"$2,628,597"
151,jamychalgreen,Green,JaMychal,32.1>,PF,OKC,UFA,2628597,2628597,"$2,628,597"
152,matthewdellavedova,Dellavedova,Matthew,31.8>,PG,CLE,UFA,2628597,2628597,"$2,628,597"
153,matthewdellavedova,Dellavedova,Matthew,31.8>,PG,CLE,UFA,2628597,2628597,"$2,628,597"
154,tjwarren,Warren,T.J.,28.8>,SF,IND,UFA,2628597,2628597,"$2,628,597"
155,tjwarren,Warren,T.J.,28.8>,SF,IND,UFA,2628597,2628597,"$2,628,597"
156,frankkaminsky,Kaminsky,Frank,29.2>,C,PHX,UFA,2463490,2463490,"$2,463,490"
157,frankkaminsky,Kaminsky,Frank,29.2>,C,PHX,UFA,2463490,2463490,"$2,463,490"
158,raulneto,Neto,Raul,30.1>,PG,WAS,UFA,2463490,2463490,"$2,463,490"
159,raulneto,Neto,Raul,30.1>,PG,WAS,UFA,2463490,2463490,"$2,463,490"
160,jakelayman,Layman,Jake,28.5>,SF,MIN,UFA,2298385,2298385,"$2,298,385"
161,jakelayman,Layman,Jake,28.5>,SF,MIN,UFA,2298385,2298385,"$2,298,385"
162,rodneymcgruder,McGruder,Rodney,31.0>,SG,DET,UFA,2298385,2298385,"$2,298,385"
163,rodneymcgruder,McGruder,Rodney,31.0>,SG,DET,UFA,2298385,2298385,"$2,298,385"
164,juanchohernangomez,Hernangomez,Juancho,26.8>,PF,UTH,UFA,2298385,2298385,"$2,298,385"
165,juanchohernangomez,Hernangomez,Juancho,26.8>,PF,UTH,UFA,2298385,2298385,"$2,298,385"
166,brynforbes,Forbes,Bryn,28.9>,SG,DEN,UFA,2298385,2298385,"$2,298,385"
