"","X","Player","Age","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X.","OWS","DWS","WS","WS.48","X..1","OBPM","DBPM","BPM","VORP","Tm","fix"
"428",590,"Harrison Barnes",29,77,2587,15.7,0.623,0.432,0.495,3.4,14.9,9.1,10.5,1,0.5,10.4,18.8,NA,5,1,6,0.112,NA,1.5,-1.3,0.2,1.4,"SAC","harrisonbarnes"
"429",591,"De'Aaron Fox",24,59,2083,17.4,0.549,0.228,0.319,1.3,10.9,6,26.8,1.6,1,11.9,29.1,NA,1.5,1,2.5,0.058,NA,0.6,-1.2,-0.6,0.7,"SAC","deaaronfox"
"430",592,"Davion Mitchell",23,75,2076,10.8,0.489,0.38,0.101,1.7,7,4.4,22.5,1.3,1,11.5,20.6,NA,-0.5,0.6,0.1,0.003,NA,-2.1,-1.7,-3.8,-0.9,"SAC","davionmitchell"
"431",595,"Chimezie Metu",24,60,1279,13.4,0.546,0.414,0.203,2.9,25.9,14.3,6.9,1.9,2.2,11.1,18.5,NA,0.1,1.4,1.5,0.056,NA,-1.6,0.1,-1.5,0.2,"SAC","chimeziemetu"
"432",596,"Richaun Holmes",28,45,1074,17.8,0.689,0.017,0.3,9.3,22.9,16.1,6.8,0.8,3.3,14.2,15.8,NA,2.4,0.9,3.2,0.145,NA,-0.4,-0.1,-0.5,0.4,"SAC","richaunholmes"
"433",597,"Damian Jones",26,56,1017,18.3,0.701,0.109,0.492,7.9,18.5,13.2,10.2,1.2,4,15.4,16.2,NA,2.4,0.9,3.3,0.156,NA,-0.2,0.5,0.3,0.6,"SAC","damianjones"
"434",598,"Maurice Harkless",28,47,863,7.7,0.561,0.558,0.155,1.5,12.7,7.1,3.6,1.6,2.4,13.8,11.2,NA,-0.1,0.6,0.5,0.026,NA,-3.7,0.4,-3.3,-0.3,"SAC","mauriceharkless"
"435",602,"Alex Len",28,39,620,13.1,0.577,0.119,0.358,9,19.3,14.1,10.6,1,3.5,17.4,17.1,NA,0.4,0.5,0.9,0.07,NA,-3.2,0.3,-2.9,-0.1,"SAC","alexlen"
"436",604,"Terence Davis",24,30,536,14.6,0.543,0.558,0.165,2.2,17,9.5,11.9,2.2,1.8,10.3,25.6,NA,0,0.5,0.5,0.044,NA,-0.6,-0.4,-0.9,0.2,"SAC","terencedavis"
"437",608,"Jahmi'us Ramsey",20,19,134,7.9,0.468,0.31,0.241,3.2,7.4,5.3,7.9,0.4,0.6,7.2,22.2,NA,-0.1,0,-0.1,-0.047,NA,-3.5,-3.4,-6.9,-0.2,"SAC","jahmiusramsey"
"438",610,"Neemias Queta",22,15,120,12.7,0.495,0,0.447,12.6,15.6,14.1,7.2,0.4,5.8,11.7,18.4,NA,0,0.1,0.1,0.051,NA,-4.1,-1,-5.1,-0.1,"SAC","neemiasqueta"
"439",611,"Louis King",22,10,104,8.1,0.438,0.574,0.213,0,12.7,6.3,12.5,0.9,0.8,0,21.2,NA,0,0,0,0,NA,-3,-1.6,-4.6,-0.1,"SAC","louisking"
"440",612,"Robert Woodard II",22,12,42,2.1,0.207,0.25,0.125,12.8,15.7,14.3,9,1.1,2.1,5.6,18.3,NA,-0.2,0,-0.1,-0.147,NA,-6.8,-3.6,-10.4,-0.1,"SAC","robertwoodardii"
"441",614,"Emmanuel Mudiay",25,2,11,12.3,0.399,0,2,0,0,0,43.4,4.4,0,21,18.6,NA,0,0,0,0.023,NA,-2.7,1.5,-1.2,0,"SAC","emmanuelmudiay"
"442",615,"Ade Murkey",24,1,1,0,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,0,0,0,-0.017,NA,-7.4,-2.3,-9.7,0,"SAC","ademurkey"
"443",616,"Keldon Johnson",22,75,2392,15.2,0.574,0.395,0.231,3.5,16.7,10,9.5,1.2,0.5,7.6,21.3,NA,2.9,2,4.9,0.098,NA,0.7,-1.2,-0.5,0.9,"SAS","keldonjohnson"
"444",617,"Dejounte Murray",25,68,2366,22.3,0.533,0.237,0.199,3.5,21.6,12.5,40.6,2.8,0.8,11.8,27.3,NA,3.9,3.4,7.3,0.149,NA,3.7,1.7,5.4,4.4,"SAS","dejountemurray"
"445",618,"Jakob Poeltl",26,68,1970,20.8,0.613,0.002,0.287,13.9,20,16.9,14,1.1,5,12.7,18.3,NA,4.4,2.5,6.9,0.168,NA,0.9,0.7,1.6,1.7,"SAS","jakobpoeltl"
"446",619,"Devin Vassell",21,71,1937,13.3,0.54,0.497,0.13,2.4,14.3,8.3,9.7,1.9,1.8,6.7,18.9,NA,1.3,2,3.3,0.082,NA,-0.5,0,-0.5,0.7,"SAS","devinvassell"
"447",620,"Lonnie Walker IV",23,70,1612,12.3,0.512,0.462,0.194,1.2,10.7,5.9,13.4,1.3,1,7.9,23.6,NA,0.1,1.1,1.2,0.037,NA,-1.2,-1.3,-2.5,-0.2,"SAS","lonniewalkeriv"
"448",622,"Doug McDermott",30,51,1223,11.4,0.593,0.551,0.11,1.5,8.4,4.9,7.3,0.5,0.4,8.1,18.3,NA,1.1,0.5,1.6,0.062,NA,-0.4,-2.1,-2.5,-0.1,"SAS","dougmcdermott"
"449",623,"Tre Jones",22,69,1148,15,0.545,0.15,0.268,2.6,11.6,7.1,27,1.8,0.5,10.8,15.6,NA,1.9,0.9,2.9,0.121,NA,-0.9,0.4,-0.5,0.4,"SAS","trejones"
"450",624,"Joshua Primo",19,50,965,7.1,0.487,0.507,0.219,3.5,8.9,6.1,10.6,1,2,16.1,15.4,NA,-0.6,0.6,0,0.001,NA,-3.8,-1.1,-5,-0.7,"SAS","joshuaprimo"
"451",625,"Keita Bates-Diop",26,59,956,12.4,0.578,0.209,0.232,6.8,18.7,12.7,5.7,1.4,1.2,13.4,14.8,NA,0.6,1,1.6,0.08,NA,-2.1,-0.5,-2.6,-0.1,"SAS","keitabatesdiop"
"452",628,"Jock Landale",26,54,589,16,0.597,0.436,0.201,11.1,13.5,12.3,10.6,0.8,2,12.3,18.1,NA,1,0.4,1.5,0.121,NA,0.7,-1.1,-0.4,0.2,"SAS","jocklandale"
"453",630,"Zach Collins",24,28,502,16.4,0.594,0.265,0.419,9.5,22.5,16,16.3,1.2,3.8,19.7,19.2,NA,0.6,0.7,1.2,0.118,NA,-1.2,1,-0.2,0.2,"SAS","zachcollins"
"454",632,"Joe Wieskamp",22,29,205,7.1,0.494,0.768,0.232,2,5.2,3.6,5.5,0.9,1.2,3.1,13.1,NA,0.1,0.1,0.1,0.035,NA,-2.9,-1.1,-3.9,-0.1,"SAS","joewieskamp"
"455",633,"Devontae Cacok",25,15,121,20.2,0.675,0,0.226,6.9,29.7,18.2,6.9,3.2,4.9,8.1,12.9,NA,0.3,0.3,0.5,0.206,NA,0.7,3.5,4.2,0.2,"SAS","devontaecacok"
"456",637,"Jaylen Morris",26,3,16,-11.4,0.129,0.333,0.667,0,13.2,6.6,14,0,0,11.4,23.1,NA,-0.1,0,-0.1,-0.376,NA,-15.8,-5.7,-21.5,-0.1,"SAS","jaylenmorris"
"457",639,"Anthony Lamb",24,2,8,-0.5,0,1,0,0,13.2,6.6,27.9,0,0,0,10.6,NA,0,0,0,-0.138,NA,-6.2,-1.8,-8,0,"SAS","anthonylamb"
"458",640,"Scottie Barnes",20,74,2617,16.3,0.552,0.207,0.231,7.7,15.8,11.5,14.7,1.5,2.1,11.7,19,NA,3.7,2.9,6.6,0.122,NA,0.5,0.4,0.9,1.9,"TOR","scottiebarnes"
"459",641,"Pascal Siakam",27,68,2578,20.3,0.565,0.181,0.314,5.1,20.1,12.2,23,1.6,1.6,11.6,25.8,NA,4.9,3.2,8.1,0.151,NA,2.7,0.8,3.5,3.6,"TOR","pascalsiakam"
"460",642,"Fred VanVleet",27,65,2462,17.3,0.552,0.585,0.202,1.8,11.4,6.4,26.7,2.3,1.4,12.5,23.7,NA,3.9,2.8,6.7,0.131,NA,3.1,0.5,3.6,3.5,"TOR","fredvanvleet"
"461",643,"Gary Trent Jr.",23,70,2448,14.7,0.546,0.502,0.188,1.1,7.7,4.2,8.8,2.5,0.8,5.8,21.8,NA,3.1,2.5,5.6,0.11,NA,-0.1,0.3,0.2,1.3,"TOR","garytrentjr"
"462",644,"OG Anunoby",24,48,1728,14.8,0.549,0.455,0.169,4.4,12.6,8.3,11,2.1,1.4,9.7,20.5,NA,1.8,1.9,3.7,0.104,NA,0.4,0.1,0.5,1.1,"TOR","oganunoby"
"463",645,"Precious Achiuwa",22,73,1725,12.7,0.503,0.259,0.217,8.7,21.7,14.9,6.9,1.1,2.3,11.3,18.5,NA,0.4,2.1,2.5,0.07,NA,-2,-0.6,-2.6,-0.2,"TOR","preciousachiuwa"
"464",646,"Chris Boucher",29,80,1690,17.9,0.57,0.397,0.334,10.9,21.3,15.8,2.2,1.4,4.3,6,17.8,NA,3.5,2.4,6,0.169,NA,0.5,-0.4,0,0.9,"TOR","chrisboucher"
"465",647,"Khem Birch",29,55,991,13.2,0.534,0.07,0.355,12.7,13.5,13.1,7.6,1.5,2.6,11.1,11.2,NA,1.5,1.1,2.6,0.126,NA,-1.7,0.4,-1.3,0.2,"TOR","khembirch"
"466",648,"Svi Mykhailiuk",24,56,716,9.6,0.509,0.573,0.158,2.9,11.5,7,8.8,1.8,0.5,11.3,16.9,NA,0.1,0.7,0.8,0.052,NA,-2.7,-0.2,-2.9,-0.2,"TOR","svimykhailiuk"
"467",649,"Dalano Banton",22,64,696,10,0.463,0.252,0.218,5.6,14.1,9.7,19.8,2,1.4,19.3,16.9,NA,-0.4,0.8,0.4,0.03,NA,-3.5,0.4,-3.1,-0.2,"TOR","dalanobanton"
"468",650,"Malachi Flynn",23,44,537,11.7,0.488,0.492,0.131,1.9,11.3,6.4,18.5,1.9,0.7,6.3,16.5,NA,0.5,0.5,1,0.092,NA,-1.8,0.4,-1.5,0.1,"TOR","malachiflynn"
"469",652,"Yuta Watanabe",27,38,445,11.5,0.524,0.572,0.29,4.2,19,11.2,6.6,1.2,3.5,10.9,16.8,NA,0.1,0.6,0.7,0.075,NA,-1.9,0,-2,0,"TOR","yutawatanabe"
"470",653,"Justin Champagnie",20,36,281,13.6,0.571,0.418,0.134,13.5,14.3,13.9,5.4,1.4,1.4,10.1,12,NA,0.5,0.3,0.8,0.138,NA,-1.3,-0.7,-2,0,"TOR","justinchampagnie"
"471",656,"Isaac Bonga",22,15,69,8.7,0.363,0.308,0.615,6,5,5.5,7.3,5.8,2.8,10.8,11.5,NA,-0.1,0.1,0.1,0.06,NA,-5.4,5,-0.4,0,"TOR","isaacbonga"
"472",657,"D.J. Wilson",25,4,54,27.9,0.773,0.133,0.667,1.9,31.8,16.1,14.6,4.6,1.8,9.3,17,NA,0.2,0.1,0.4,0.328,NA,1.8,3.2,5,0.1,"TOR","djwilson"
"473",660,"Daniel Oturu",22,3,27,13.4,0.549,0.167,0.833,3.8,17,10,0,0,7.2,0,13,NA,0,0,0.1,0.121,NA,-2.7,-2.5,-5.2,0,"TOR","danieloturu"
